latitude,longitude
40.51527053953387,-74.45807043
40.51527053953387,-74.45689046
40.51527053953387,-74.4557105
40.51617107892696,-74.46043021
40.51617107892696,-74.45925023
40.51617107892696,-74.45807025
40.51617107892696,-74.45689027
40.51617107892696,-74.4557103
40.51707161817926,-74.46279005
40.51707161817926,-74.46161006
40.51707161817926,-74.46043006
40.51707161817926,-74.45925007
40.51707161817926,-74.45807008
40.51707161817926,-74.45689009
40.51707161817926,-74.45571009
40.51707161817926,-74.4545301
40.51797215729076,-74.46514996
40.51797215729076,-74.46396995
40.51797215729076,-74.46278994
40.51797215729076,-74.46160993
40.51797215729076,-74.46042992
40.51797215729076,-74.45924991
40.51797215729076,-74.4580699
40.51797215729076,-74.4568899
40.51797215729076,-74.45570989
40.51797215729076,-74.45452988
40.51887269626146,-74.46868995
40.51887269626146,-74.46750993
40.51887269626146,-74.4663299
40.51887269626146,-74.46514988
40.51887269626146,-74.46396985
40.51887269626146,-74.46278983
40.51887269626146,-74.4616098
40.51887269626146,-74.46042978
40.51887269626146,-74.45924976
40.51887269626146,-74.45806973
40.51887269626146,-74.45688971
40.51887269626146,-74.45570968
40.51887269626146,-74.45452966
40.51887269626146,-74.45334963
40.519773235091385,-74.46986996
40.519773235091385,-74.46868992
40.519773235091385,-74.46750988
40.519773235091385,-74.46632984
40.519773235091385,-74.4651498
40.519773235091385,-74.46396976
40.519773235091385,-74.46278972
40.519773235091385,-74.46160968
40.519773235091385,-74.46042964
40.519773235091385,-74.4592496
40.519773235091385,-74.45806956
40.519773235091385,-74.45688952
40.519773235091385,-74.45570948
40.519773235091385,-74.45452944
40.519773235091385,-74.4533494
40.520673773780516,-74.46986994
40.520673773780516,-74.46868989
40.520673773780516,-74.46750983
40.520673773780516,-74.46632978
40.520673773780516,-74.46514972
40.520673773780516,-74.46396966
40.520673773780516,-74.46278961
40.520673773780516,-74.46160955
40.520673773780516,-74.4604295
40.520673773780516,-74.45924944
40.520673773780516,-74.45806938
40.520673773780516,-74.45688933
40.520673773780516,-74.45570927
40.520673773780516,-74.45452922
40.520673773780516,-74.45334916
40.520673773780516,-74.4521691
40.521574312328845,-74.46986993
40.521574312328845,-74.46868986
40.521574312328845,-74.46750978
40.521574312328845,-74.46632971
40.521574312328845,-74.46514964
40.521574312328845,-74.46396957
40.521574312328845,-74.4627895
40.521574312328845,-74.46160943
40.521574312328845,-74.46042935
40.521574312328845,-74.45924928
40.521574312328845,-74.45806921
40.521574312328845,-74.45688914
40.521574312328845,-74.45570907
40.521574312328845,-74.45452899
40.521574312328845,-74.45334892
40.521574312328845,-74.45216885
40.522474850736394,-74.46868982
40.522474850736394,-74.46750974
40.522474850736394,-74.46632965
40.522474850736394,-74.46514956
40.522474850736394,-74.46396947
40.522474850736394,-74.46278939
40.522474850736394,-74.4616093
40.522474850736394,-74.46042921
40.522474850736394,-74.45924912
40.522474850736394,-74.45806904
40.522474850736394,-74.45688895
40.522474850736394,-74.45570886
40.522474850736394,-74.45452877
40.522474850736394,-74.45334869
40.522474850736394,-74.4521686
40.522474850736394,-74.45098851
40.523375389003135,-74.46868979
40.523375389003135,-74.46750969
40.523375389003135,-74.46632959
40.523375389003135,-74.46514948
40.523375389003135,-74.46396938
40.523375389003135,-74.46278928
40.523375389003135,-74.46160917
40.523375389003135,-74.46042907
40.523375389003135,-74.45924897
40.523375389003135,-74.45806886
40.523375389003135,-74.45688876
40.523375389003135,-74.45570866
40.523375389003135,-74.45452855
40.523375389003135,-74.45334845
40.523375389003135,-74.45216834
40.524275927129075,-74.46750964
40.524275927129075,-74.46632952
40.524275927129075,-74.4651494
40.524275927129075,-74.46396928
40.524275927129075,-74.46278917
40.524275927129075,-74.46160905
40.524275927129075,-74.46042893
40.524275927129075,-74.45924881
40.524275927129075,-74.45806869
40.524275927129075,-74.45688857
40.524275927129075,-74.45570845
40.524275927129075,-74.45452833
40.52517646511423,-74.46750959
40.52517646511423,-74.46632946
40.52517646511423,-74.46514932
40.52517646511423,-74.46396919
40.52517646511423,-74.46278905
40.52517646511423,-74.46160892
40.52517646511423,-74.46042878
40.52517646511423,-74.45924865
40.52517646511423,-74.45806851
40.52517646511423,-74.45688838
40.52607700295859,-74.4663294
40.52607700295859,-74.46514925
40.52607700295859,-74.4639691
40.52607700295859,-74.46278894
40.52607700295859,-74.46160879
40.52607700295859,-74.46042864
40.52607700295859,-74.45924849
40.52697754066214,-74.46632933
40.52697754066214,-74.46514917
40.52697754066214,-74.463969
40.52697754066214,-74.46278883
40.52787808,-74.46514909
